freelancer_id,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate_usd,rating,is_active,client_satisfaction
FL250001,Ms. Nicole Kidd,F,52.0,Italy,Italian,Blockchain Development,11.0,100.0,,False,
FL250002,Vanessa Garcia,F,52.0,Australia,English,Mobile Apps,34.0,100.0,3.3,True,84.0
FL250003,Juan Nelson,M,53.0,Germany,German,Graphic Design,31.0,50.0,0.0,False,71.0
FL250004,Amanda Spencer,F,38.0,Australia,English,Web Development,4.0,40.0,1.5,False,90.0
FL250005,Lynn Curtis DDS,F,53.0,Germany,German,Web Development,27.0,30.0,4.8,False,83.0
FL250006,Lisa Johnson,F,59.0,Netherlands,Dutch,AI,14.0,30.0,2.4,False,
FL250007,Eric Myers,M,52.0,Indonesia,Indonesian,Data Analysis,10.0,75.0,3.1,False,94.0
FL250008,Ricky Graham,M,43.0,Italy,Italian,Blockchain Development,14.0,40.0,4.6,False,94.0
FL250009,Sean Martin,M,26.0,United States,English,Blockchain Development,4.0,40.0,4.0,True,76.0
FL250010,Matthew Lloyd,M,52.0,Turkey,Turkish,AI,22.0,50.0,,True,
FL250011,Gavin Randall,M,40.0,United Kingdom,English,Data Analysis,17.0,40.0,3.6,True,77.0
FL250012,Michelle Curtis,F,55.0,Argentina,Spanish,UI/UX Design,15.0,50.0,,True,86.0
FL250013,Alice Schneider,F,57.0,United Kingdom,English,Cybersecurity,18.0,50.0,2.0,False,86.0
FL250014,Phillip Shelton,M,38.0,Argentina,Spanish,Graphic Design,20.0,75.0,2.9,True,93.0
FL250015,Edward Ferguson,M,50.0,Germany,German,Data Analysis,22.0,75.0,3.7,True,70.0
FL250016,Wyatt Stout,M,42.0,Japan,Japanese,Data Analysis,0.0,30.0,1.2,False,69.0
FL250017,Laura Johnson,F,39.0,Australia,English,DevOps,13.0,30.0,2.5,False,60.0
FL250018,Scott Burns,M,56.0,India,Hindi,Blockchain Development,9.0,45.0,,,87.0
FL250019,Tyler Aguirre,M,56.0,United States,English,UI/UX Design,31.0,50.0,1.1,False,75.0
FL250020,Matthew Lawson,M,57.0,Italy,Italian,Web Development,3.0,100.0,1.8,True,68.0
FL250021,James Cherry,M,41.0,Indonesia,Indonesian,AI,9.0,50.0,1.8,False,65.0
FL250022,Samuel Sanford,M,51.0,Japan,Japanese,DevOps,9.0,50.0,2.4,False,69.0
FL250023,Cesar Greene,M,51.0,Brazil,Portuguese,Cybersecurity,21.0,30.0,4.7,False,
FL250024,Melanie Carter,F,51.0,South Korea,Korean,Machine Learning,15.0,50.0,1.3,True,100.0
FL250025,Jennifer Martin,F,54.0,Indonesia,Indonesian,Machine Learning,13.0,75.0,2.9,,92.0
FL250026,Anna Mccann,F,22.0,South Korea,Korean,DevOps,0.0,30.0,1.2,True,70.0
FL250027,Marissa Bass,F,34.0,Japan,Japanese,Blockchain Development,8.0,20.0,0.0,True,89.0
FL250028,Alexis Day,F,36.0,Russia,Russian,Graphic Design,11.0,40.0,1.8,True,86.0
FL250029,Megan Jones,F,47.0,Canada,English,AI,22.0,30.0,1.3,False,62.0
FL250030,Lori Smith,F,41.0,Netherlands,Dutch,Data Analysis,14.0,75.0,1.2,False,
FL250031,Eric Carpenter,M,22.0,Netherlands,Dutch,DevOps,4.0,62.5,1.0,True,
FL250032,Timothy Daniels,M,38.0,France,French,Machine Learning,19.0,100.0,4.2,False,68.0
FL250033,Robert Nelson,M,46.0,Egypt,Arabic,AI,9.0,20.0,1.4,True,76.0
FL250034,Michael Anderson,M,41.0,South Korea,Korean,AI,9.0,40.0,2.4,True,82.0
FL250035,Jessica Snyder,F,54.0,United States,English,Web Development,32.0,75.0,1.0,True,81.0
FL250036,Emily Daniels,F,52.0,South Korea,Korean,Web Development,28.0,20.0,,False,
FL250037,Jamie Ramirez,F,42.0,Japan,Japanese,Mobile Apps,6.0,40.0,,False,63.0
FL250038,Amy Harrison,F,29.0,Netherlands,Dutch,Graphic Design,10.0,40.0,2.2,False,67.0
FL250039,Melinda White,F,42.0,South Africa,Afrikaans,Mobile Apps,23.0,50.0,3.2,True,
FL250040,James Hernandez,M,60.0,Japan,Japanese,Web Development,13.0,20.0,3.6,False,80.0
FL250041,Angelica Rogers,F,59.0,United Kingdom,English,AI,3.0,50.0,0.0,False,
FL250042,Savannah Williams,F,21.0,Canada,English,Web Development,0.0,30.0,2.7,True,84.0
FL250043,Kaitlyn Schmidt,F,35.0,Germany,German,DevOps,10.0,50.0,0.0,False,
FL250044,Jason Singh,M,41.0,United Kingdom,English,Data Analysis,9.0,20.0,2.8,True,63.0
FL250045,Michelle Ramirez,F,51.0,Netherlands,Dutch,Machine Learning,23.0,20.0,2.5,False,80.0
FL250046,James Brown,M,41.0,South Africa,Afrikaans,Web Development,9.0,75.0,4.9,True,74.0
FL250047,Mrs. Samantha Simmons,F,47.0,Egypt,Arabic,DevOps,15.0,30.0,4.5,True,85.0
FL250048,Chase Mason,M,25.0,China,Mandarin,Graphic Design,4.0,50.0,2.7,False,77.0
FL250049,Dominique Ward,F,25.0,Mexico,Spanish,Mobile Apps,7.0,20.0,1.9,False,
FL250050,Lance Griffin,M,29.0,Netherlands,Dutch,UI/UX Design,1.0,20.0,1.4,True,63.0
FL250051,Julie Burgess,F,23.0,Argentina,Spanish,Cybersecurity,0.0,75.0,1.9,True,79.0
FL250052,Don Scott,M,31.0,France,French,Data Analysis,8.0,50.0,3.4,False,
FL250053,Kyle Atkinson,M,51.0,Germany,German,Machine Learning,33.0,75.0,3.3,,68.0
FL250054,Jimmy Hogan,M,41.0,Spain,Spanish,UI/UX Design,1.0,30.0,0.0,False,68.0
FL250055,Jennifer Mcintyre,F,29.0,Turkey,Turkish,Cybersecurity,11.0,100.0,2.3,True,72.0
FL250056,Larry Simpson,M,50.0,United Kingdom,English,AI,15.0,40.0,2.0,True,65.0
FL250057,Laura Price,F,26.0,United Kingdom,English,DevOps,8.0,50.0,1.3,False,76.0
FL250058,Mark Wright,M,38.0,Canada,English,AI,17.0,40.0,4.0,True,90.0
FL250059,Samantha Mcdaniel,F,23.0,India,Hindi,Mobile Apps,5.0,75.0,3.6,True,65.0
FL250060,Barbara Foster,F,51.0,South Africa,Afrikaans,DevOps,28.0,40.0,3.9,False,63.0
FL250061,Courtney Tran,F,51.0,Indonesia,Indonesian,AI,33.0,75.0,0.0,True,
FL250062,Eddie Todd,M,47.0,Germany,German,AI,18.0,75.0,0.0,False,
FL250063,Christine Johnson,F,34.0,Russia,Russian,UI/UX Design,16.0,20.0,2.3,True,93.0
FL250064,Leah Phelps,F,58.0,Indonesia,Indonesian,Data Analysis,35.0,50.0,4.7,False,70.0
FL250065,Rebekah Williams,F,50.0,Russia,Russian,AI,14.0,40.0,3.5,True,83.0
FL250066,Crystal Wilson,F,34.0,Spain,Spanish,Web Development,12.0,40.0,2.4,True,64.0
FL250067,Ashley Cordova,F,45.0,Brazil,Portuguese,AI,11.0,75.0,4.0,False,100.0
FL250068,Vicki Kelly,F,55.0,Brazil,Portuguese,Web Development,0.0,40.0,0.0,True,
FL250069,Corey Warren,M,41.0,Argentina,Spanish,UI/UX Design,6.0,100.0,1.5,False,
FL250070,Gina Thompson,F,60.0,China,Mandarin,UI/UX Design,38.0,20.0,2.0,False,71.0
FL250071,Yvonne Berg,F,33.0,South Africa,Afrikaans,Mobile Apps,11.0,40.0,,True,84.0
FL250072,Thomas Miller,M,60.0,Italy,Italian,DevOps,13.0,50.0,1.0,False,
